name	realizable	ltl_model_build_time	model_build_time	composition_time	synthesis_time	diagnosis_time	alphabet_size	guarantees_count	assumptions_count	plant_states	plant_transitions	plant_controllable_transitions	minimization_states	minimization_transitions	minimization_controllable_transitions	search_method	diagnosis_steps
Running:/home/mariano/code/henos-automata/src/tests/genbuf_1_sndrs_no_automaton_missing_assumption.fsp	false	0.009305	0.000438	0.000000	0.000000	0.022419	44	3	1	146	273	185	146	48	31	DD	6
Running:/home/mariano/code/henos-automata/src/tests/genbuf_1_sndrs_no_automaton_missing_assumption.fsp	false	0.007773	0.000336	0.000000	0.000000	0.018654	44	3	1	146	273	185	146	48	31	DD	6
Running:/home/mariano/code/henos-automata/src/tests/genbuf_1_sndrs_no_automaton_missing_assumption.fsp	false	0.007321	0.000324	0.000000	0.000000	0.018097	44	3	1	146	273	185	146	48	31	DD	6
Running:/home/mariano/code/henos-automata/src/tests/genbuf_1_sndrs_no_automaton_missing_assumption.fsp	false	0.007692	0.000353	0.000000	0.000000	0.030039	44	3	1	146	273	185	146	48	31	DD	6
Running:/home/mariano/code/henos-automata/src/tests/genbuf_1_sndrs_no_automaton_missing_assumption.fsp	false	0.009914	0.000426	0.000000	0.000000	0.023440	44	3	1	146	273	185	146	48	31	DD	6
Running:/home/mariano/code/henos-automata/src/tests/genbuf_2_sndrs_no_automaton_missing_assumption.fsp	false	0.900003	0.024237	0.000000	0.000000	21.101297	76	4	1	7958	28706	22673	7958	1294	1043	DD	40
Running:/home/mariano/code/henos-automata/src/tests/genbuf_2_sndrs_no_automaton_missing_assumption.fsp	false	0.688938	0.025630	0.000000	0.000000	19.055803	76	4	1	7958	28706	22673	7958	1294	1043	DD	40
Running:/home/mariano/code/henos-automata/src/tests/genbuf_2_sndrs_no_automaton_missing_assumption.fsp	false	0.824914	0.053829	0.000000	0.000000	23.401663	76	4	1	7958	28706	22673	7958	1294	1043	DD	40
Running:/home/mariano/code/henos-automata/src/tests/genbuf_3_sndrs_no_automaton_missing_assumption.fsp	false	6.822602	0.645589	0.000000	0.000000	11631.527771	92	5	1	73366	528650	470313	73366	2539	2200	DD	120
