name,realizable,ltl_model_build_time,model_build_time,composition_time,synthesis_time,diagnosis_time,alphabet_size,guarantees_count,assumptions_count,plant_states,plant_transitions,plant_controllable_transitions,minimiztion_states,minimization_transitions,minimization_controllable_transitions,search_method,diagnosis_steps
exploration-robot-v1_30_missing_assumption,false,1E-06,0.142088,0,0,3.286025,9,2,1,1923,7620,7440,1923,1568,1537,DD,2
exploration-robot-v1_30_missing_assumption,false,0,0.108309,0,0,2.387387,9,2,1,1923,7620,7440,1923,1568,1537,DD,2
genbuf_1_sndrs_no_automaton_missing_assumption,false,0.008432,0.000408,0,0,0.018059,44,3,1,146,273,185,146,48,31,DD,6
genbuf_1_sndrs_no_automaton_missing_assumption,false,0.00575,0.000267,0,0,0.014428,44,3,1,146,273,185,146,48,31,DD,6
genbuf_1_sndrs_no_automaton_missing_assumption,false,0.006211,0.000285,0,0,0.016068,44,3,1,146,273,185,146,48,31,DD,6
genbuf_1_sndrs_no_automaton_missing_assumption,false,0.006854,0.000326,0,0,0.016908,44,3,1,146,273,185,146,48,31,DD,6
genbuf_1_sndrs_no_automaton_missing_assumption,false,0.006762,0.000333,0,0,0.017882,44,3,1,146,273,185,146,48,31,DD,6
genbuf_1_sndrs_no_automaton_missing_assumption,false,0.009305,0.000438,0,0,0.022419,44,3,1,146,273,185,146,48,31,DD,6
genbuf_1_sndrs_no_automaton_missing_assumption,false,0.007773,0.000336,0,0,0.018654,44,3,1,146,273,185,146,48,31,DD,6
genbuf_1_sndrs_no_automaton_missing_assumption,false,0.007321,0.000324,0,0,0.018097,44,3,1,146,273,185,146,48,31,DD,6
genbuf_1_sndrs_no_automaton_missing_assumption,false,0.007692,0.000353,0,0,0.030039,44,3,1,146,273,185,146,48,31,DD,6
genbuf_1_sndrs_no_automaton_missing_assumption,false,0.009914,0.000426,0,0,0.02344,44,3,1,146,273,185,146,48,31,DD,6
genbuf_2_sndrs_no_automaton_missing_assumption,false,0.577371,0.022351,0,0,22.413303,76,4,1,7958,28706,22673,7958,1294,1043,DD,40
genbuf_2_sndrs_no_automaton_missing_assumption,false,0.550431,0.022276,0,0,21.569079,76,4,1,7958,28706,22673,7958,1294,1043,DD,40
genbuf_2_sndrs_no_automaton_missing_assumption,false,0.557987,0.02192,0,0,21.591605,76,4,1,7958,28706,22673,7958,1294,1043,DD,40
genbuf_2_sndrs_no_automaton_missing_assumption,false,0.556759,0.021918,0,0,5.679091,76,4,1,7958,28706,22673,7958,610,477,DD,22
genbuf_2_sndrs_no_automaton_missing_assumption,false,0.5584,0.0227,0,0,21.60381,76,4,1,7958,28706,22673,7958,1294,1043,DD,40
genbuf_2_sndrs_no_automaton_missing_assumption,false,0.900003,0.024237,0,0,21.101297,76,4,1,7958,28706,22673,7958,1294,1043,DD,40
genbuf_2_sndrs_no_automaton_missing_assumption,false,0.688938,0.02563,0,0,19.055803,76,4,1,7958,28706,22673,7958,1294,1043,DD,40
genbuf_2_sndrs_no_automaton_missing_assumption,false,0.824914,0.053829,0,0,23.401663,76,4,1,7958,28706,22673,7958,1294,1043,DD,40
genbuf_3_sndrs_no_automaton_missing_assumption,false,5.607017,0.625996,0,0,10339.184346,92,5,1,73366,528650,470313,73366,2539,2200,DD,120
genbuf_3_sndrs_no_automaton_missing_assumption,false,6.822602,0.645589,0,0,11631.527771,92,5,1,73366,528650,470313,73366,2539,2200,DD,120
genbuf_1_sndrs_no_automaton_removed_env_safety,false,0.013281,0.001456,0,0,0.0544,44,3,2,569,1388,927,569,8,4,DD,10
genbuf_1_sndrs_no_automaton_removed_env_safety,false,0.009682,0.001283,0,0,0.046152,44,3,2,569,1388,927,569,8,4,DD,10
genbuf_1_sndrs_no_automaton_removed_env_safety,false,0.011909,0.001316,0,0,0.050264,44,3,2,569,1388,927,569,8,4,DD,10
genbuf_1_sndrs_no_automaton_removed_env_safety,false,0.009655,0.001284,0,0,0.050479,44,3,2,569,1388,927,569,8,4,DD,10
genbuf_1_sndrs_no_automaton_removed_env_safety,false,0.009562,0.001295,0,0,0.048578,44,3,2,569,1388,927,569,8,4,DD,10
genbuf_2_sndrs_no_automaton_removed_env_safety,false,0.89859,0.194232,0,0,2504.565972,76,4,4,31766,142850,114433,31766,1984,1595,DD,198
