step,time,size
1,30.918697,259197
2,18.198461,200166
3,64.532655,200166
4,115.97832,200166
5,109.578123,188125
6,184.983263,188125
7,141.23977,181517
8,151.199918,175632
9,143.943808,170026
10,167.084003,164962
11,180.025153,159264
12,214.827586,155043
13,190.771241,155043
14,108.551328,148083
15,108.868916,145041
16,136.812028,140588
17,151.069218,134659
18,138.265263,132093
19,165.711278,128669
20,179.793244,121965
21,163.57865,121965
22,97.690214,117367
23,94.342709,113934
24,118.048825,111577
25,112.489918,110579
26,124.763146,103712
27,120.602845,100086
28,139.22732,98937
29,150.507606,96854
30,152.261532,96854
31,70.80799,94729
32,75.514762,93933
33,73.396526,91957
34,91.211395,91161
35,89.875547,89484
36,100.771078,88354
37,107.415487,86006
38,100.074458,84588
39,106.448804,84330
40,124.123308,84330
41,52.286912,80594
42,60.560864,80261
43,68.489657,79143
44,70.788825,77607
45,64.407849,75549
46,82.647674,73182
47,76.013417,71787
48,88.788582,70516
49,85.964585,69574
50,92.216052,69501
51,103.113733,69176
52,97.234004,69176
53,41.625044,67563
54,48.411398,66973
55,63.483567,66793
56,62.351364,66481
57,68.777191,66481
58,94.568761,63134
59,74.822326,63068
60,79.27891,62898
61,90.188014,61542
62,93.050925,61479
63,86.273505,61479
64,34.769145,61419
65,40.969199,61370
66,58.050194,61214
67,56.177443,61176
68,61.898925,61100
69,90.050282,61036
70,102.30286,58777
71,100.53938,57379
72,105.076209,57139
73,97.482351,57139
74,37.468524,56355
75,44.925995,56031
76,95.163617,54583
77,93.32961,54561
78,103.523829,54544
79,102.074911,54465
80,87.250521,53593
81,101.991167,53576
82,92.688367,52053
83,87.53289,52053
84,91.031461,52031
85,83.109536,52020
86,83.167549,52020
87,109.904712,52011
88,105.951221,51996
89,109.491485,51996
90,81.933092,49341
91,88.808258,49341
92,72.958388,49103
93,81.950165,49093
94,71.43349,49093
95,74.211079,49076
96,61.718097,49076
97,68.407326,45129
98,60.101285,44910
99,61.993582,44138
100,52.951328,44132
101,55.348069,44126
102,49.175467,44120
103,51.81205,41537
104,43.981458,41537
105,44.38006,39038
106,44.148191,36356
107,43.166417,36350
108,37.754944,36017
109,32.219245,36001
110,33.39919,36001
111,36.915672,35995
112,31.789485,35988
113,27.337766,35653
114,22.655355,35653
115,17.578567,35653
116,21.617255,35552
117,16.291056,35552
118,16.299547,35546
119,3.163885 ,2539 
