step,time,size
1,0.012469,3389
2,0.008792,2058
3,0.024926,2058
4,0.030357,1618
5,0.037743,1618
6,0.045893,1434
7,0.042582,1153
8,0.047876,1153
9,0.040775,1153
10,0.040821,1022
11,0.043598,898
12,0.055793,898
13,0.053188,838
14,0.057338,834
15,0.047078,834
16,0.054957,779
17,0.064547,779
18,0.051448,750
19,0.071069,435
20,0.081942,390
21,0.069189,290
22,0.059645,290
23,0.073748,262
24,0.06162,194
25,0.058557,194
26,0.066551,182
27,0.060402,182
28,0.063689,168
29,0.045113,163
30,0.051477,154
31,0.04,148
32,0.028451,143
33,0.035403,133
34,0.0337,133
35,0.042295,111
36,0.006991 ,10 
